nm;A
;13.56;28.56
200.000000;0.060000;0.050000
210.000000;-0.030000;-0.060000
220.000000;-0.020000;0.050000
230.000000;0.090000;0.050000
240.000000;-0.030000;-0.080000
250.000000;0.000000;-0.040000
260.000000;-0.020000;0.080000
270.000000;0.080000;0.000000
280.000000;-0.080000;0.050000
290.000000;0.050000;-0.040000
300.000000;-0.030000;0.050000
310.000000;0.020000;0.060000
320.000000;0.030000;0.050000
330.000000;0.030000;-0.020000
340.000000;0.000000;0.090000
350.000000;-0.050000;0.070000
360.000000;-0.040000;-0.050000
370.000000;-0.080000;-0.040000
380.000000;-0.010000;0.020000
390.000000;0.030000;-0.090000
400.000000;-0.020000;0.070000
500.000000;0.050000;0.020000
600.000000;0.090000;-0.040000
700.000000;-0.080000;-0.080000
800.000000;0.020000;-0.060000
