nm;A
;13.56;28.56
200.000000;0.000000;0.000000
210.000000;0.000000;0.000000
220.000000;0.000000;0.000000
230.000000;0.000000;0.000000
240.000000;0.000000;0.000000
250.000000;0.000000;0.000000
260.000000;0.000000;0.000000
270.000000;0.000000;0.000000
280.000000;0.000000;0.000000
290.000000;0.000000;0.000000
300.000000;0.000000;0.000000
310.000000;0.000000;0.000000
320.000000;0.000000;0.000000
330.000000;0.000000;0.000000
340.000000;0.000000;0.000000
350.000000;0.000000;0.000000
360.000000;0.000000;0.000000
370.000000;0.000000;0.000000
380.000000;0.000000;0.000000
390.000000;0.000000;0.000000
400.000000;0.000000;0.000000
500.000000;0.000000;0.000000
600.000000;0.000000;0.000000
700.000000;0.000000;0.000000
800.000000;0.000000;0.000000
